"hidden_dimensions","embedding_dimensions","fine_accuracy","coarse_accuracy","pred_0","pred_1","pred_2","pred_3","pred_4","pred_class","R_i","R_hate","R_the","R_movie","R_though","R_the2","R_plot","R_is","R_interesting","R_period","heatmap_html"
3,3,0.3025,0.5497572815534,0.08922741,0.49290333,-1.01831183,1.16833354,0.89940089,3,-0.29,-0.45,0.21,0.01,0.30,-0.19,-0.18,-0.10,0.19,-0.15,<span style="background-color:#5656ff">i</span> <span style="background-color:#0000ff">hate</span> <span style="background-color:#ff8686">the</span> <span style="background-color:#fff8f8">movie</span> <span style="background-color:#ff5050">though</span> <span style="background-color:#9292ff">the</span> <span style="background-color:#9a9aff">plot</span> <span style="background-color:#c8c8ff">is</span> <span style="background-color:#ff9292">interesting</span> <span style="background-color:#aaaaff">.</span> 
3,4,0.3635,0.6868932038835,-0.81532341,0.22806844,-0.05436461,0.58339961,-0.75562221,3,-0.36,0.22,0.20,-0.08,-0.33,-0.07,-0.13,-0.09,0.63,-0.38,<span style="background-color:#6c6cff">i</span> <span style="background-color:#ffa6a6">hate</span> <span style="background-color:#ffb0b0">the</span> <span style="background-color:#dedeff">movie</span> <span style="background-color:#7878ff">though</span> <span style="background-color:#e3e3ff">the</span> <span style="background-color:#ccccff">plot</span> <span style="background-color:#dadaff">is</span> <span style="background-color:#ff0000">interesting</span> <span style="background-color:#6666ff">.</span> 
3,5,0.2815,0.51820388349515,-0.4046923,0.3639674,-0.56531213,0.50298705,-0.17235045,3,-0.61,0.61,-0.15,-0.08,-0.27,-0.17,-0.12,-0.11,0.19,-0.22,<span style="background-color:#0000ff">i</span> <span style="background-color:#ff0101">hate</span> <span style="background-color:#c0c0ff">the</span> <span style="background-color:#dcdcff">movie</span> <span style="background-color:#9090ff">though</span> <span style="background-color:#b8b8ff">the</span> <span style="background-color:#ceceff">plot</span> <span style="background-color:#d2d2ff">is</span> <span style="background-color:#ffb2b2">interesting</span> <span style="background-color:#a2a2ff">.</span> 
3,7,0.417,0.77427184466019,0.05293921,1.08888223,0.09787885,-0.32881441,-2.44620512,1,-0.68,0.90,-0.20,0.02,0.62,-0.17,0.04,-0.03,-0.17,-0.37,<span style="background-color:#3e3eff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#c6c6ff">the</span> <span style="background-color:#fffafa">movie</span> <span style="background-color:#ff5050">though</span> <span style="background-color:#d0d0ff">the</span> <span style="background-color:#fff6f6">plot</span> <span style="background-color:#f6f6ff">is</span> <span style="background-color:#d0d0ff">interesting</span> <span style="background-color:#9696ff">.</span> 
3,10,0.427,0.76699029126214,-0.10798372,0.14671873,-0.09367619,0.69087471,-0.40994189,3,-1.03,-0.39,0.12,-0.15,0.14,0.21,-0.10,-0.11,0.51,0.06,<span style="background-color:#0000ff">i</span> <span style="background-color:#9e9eff">hate</span> <span style="background-color:#ffe0e0">the</span> <span style="background-color:#dadaff">movie</span> <span style="background-color:#ffdcdc">though</span> <span style="background-color:#ffcccc">the</span> <span style="background-color:#e3e3ff">plot</span> <span style="background-color:#e3e3ff">is</span> <span style="background-color:#ff8080">interesting</span> <span style="background-color:#fff0f0">.</span> 
3,15,0.426,0.77609223300971,-0.51913294,0.58502994,0.50711308,-0.13515499,-2.10263783,1,-0.78,0.69,0.15,-0.01,0.13,-0.04,0.18,-0.04,-0.46,-0.22,<span style="background-color:#0000ff">i</span> <span style="background-color:#ff1c1c">hate</span> <span style="background-color:#ffcccc">the</span> <span style="background-color:#fafaff">movie</span> <span style="background-color:#ffd3d3">though</span> <span style="background-color:#f0f0ff">the</span> <span style="background-color:#ffc2c2">plot</span> <span style="background-color:#f2f2ff">is</span> <span style="background-color:#6868ff">interesting</span> <span style="background-color:#b8b8ff">.</span> 
3,20,0.4365,0.78883495145631,1.10475059,0.98570102,-0.50666283,-0.42591619,-0.17162617,0,-0.06,2.29,-0.04,0.05,-0.35,-0.01,0.46,0.02,-1.23,0.09,<span style="background-color:#f8f8ff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#fafaff">the</span> <span style="background-color:#fffafa">movie</span> <span style="background-color:#d8d8ff">though</span> <span style="background-color:#fefeff">the</span> <span style="background-color:#ffcccc">plot</span> <span style="background-color:#fffefe">is</span> <span style="background-color:#7676ff">interesting</span> <span style="background-color:#fff4f4">.</span> 
4,3,0.2825,0.52791262135922,-0.31463888,0.06818692,-0.61521188,0.88544103,0.27287694,3,-0.41,-0.15,0.10,-0.07,-0.19,-0.11,-0.10,-0.09,0.44,-0.30,<span style="background-color:#0e0eff">i</span> <span style="background-color:#a8a8ff">hate</span> <span style="background-color:#ffc3c3">the</span> <span style="background-color:#d8d8ff">movie</span> <span style="background-color:#9090ff">though</span> <span style="background-color:#c0c0ff">the</span> <span style="background-color:#c3c3ff">plot</span> <span style="background-color:#cacaff">is</span> <span style="background-color:#ff0000">interesting</span> <span style="background-color:#5151ff">.</span> 
4,4,0.39,0.75970873786408,-0.21603904,0.32769277,0.18804638,0.41681715,-0.79883874,3,-0.05,0.19,-0.07,-0.09,-0.32,-0.04,-0.45,-0.03,0.83,0.00,<span style="background-color:#eeeeff">i</span> <span style="background-color:#ffc2c2">hate</span> <span style="background-color:#e8e8ff">the</span> <span style="background-color:#e2e2ff">movie</span> <span style="background-color:#9e9eff">though</span> <span style="background-color:#f2f2ff">the</span> <span style="background-color:#7474ff">plot</span> <span style="background-color:#f6f6ff">is</span> <span style="background-color:#ff0000">interesting</span> <span style="background-color:#fffefe">.</span> 
4,5,0.411,0.78216019417476,0.50110307,1.46888471,0.07720122,-0.65848586,-2.75071135,1,-1.33,1.16,-0.03,0.08,0.09,-0.32,0.43,-0.03,-0.71,-0.20,<span style="background-color:#0000ff">i</span> <span style="background-color:#ff2020">hate</span> <span style="background-color:#f8f8ff">the</span> <span style="background-color:#ffeeee">movie</span> <span style="background-color:#ffeeee">though</span> <span style="background-color:#c2c2ff">the</span> <span style="background-color:#ffacac">plot</span> <span style="background-color:#f8f8ff">is</span> <span style="background-color:#7676ff">interesting</span> <span style="background-color:#dadaff">.</span> 
